愛護,虐待
愛国,売国
アーバン,ルーラル
相酌,手酌
アイス,ホット
相席,別席
哀楽,喜怒
相惚れ,片思い
愛する,憎む
会う,別れる
崇める,蔑む
暁,黄昏
明るい,暗い
赤字,黒字
悪,善
悪意,善意
悪日,佳日
悪日,良日
悪運,幸運
威圧,懐柔
いい,悪い
いいえ,はい
いい加減,丁寧
居開帳,出開帳
生かす,殺す
以下,以上
意外,当然
異議,同義
一括,分割
粋,野暮
生き恥,死に恥
行き,帰り
異義,同義
異郷,故郷
生きる,死ぬ
以降,以前
異国,自国
育毛剤,脱毛剤
委細,概略
上,下
裏,表
氏,名
有為,無為
ウェイター,ウェイトレス
嘘,本当
嘘,実
嘘吐き,正直者
右往,左往
迂回,直行
受かる,落ちる
雨季,乾季
雨期,乾期
浮き,錘
浮かぶ,沈む
右京,左京
浮く,沈む
有卦,無卦
受け身,働き掛け
栄,枯
エアメール,シーメール
営外,営内
永遠,一瞬
鋭角,鈍角
英才,鈍才
詠史,詠物
永住,仮寓
永久歯,乳歯
永続的,一時的
栄華,零落
栄華,没落
衛星,惑星
衛星,遊星
永劫,瞬間
永劫,刹那
栄転,左遷
鋭敏,鈍感
栄誉,恥辱
男,女
尾,頭
甥,姪
雄,雌
牡,牝
追い風,向かい風
美味しい,不味い
親,子
凹,凸
王,王妃
奥義,初歩
王者,覇者
王子,王女
往事,近事
往時,近時
往日,来日
応召,召集
往信,返信
横断,縦断
往復,片道
悪事,善事
齷齪,悠々
悪習,良習
悪循環,好循環
悪条件,好条件
悪心,善心
悪政,善政
悪声,美声
悪知識,善知識
悪評,好評
悪天,好天
悪風,美風
悪文,名文
悪用,善用
上げ,下げ
上げ潮,下げ潮
潔い,未練がましい
意字,音字
畏日,愛日
遺失,取得
萎縮,伸長
異状,平常
医者,患者
移出,移入
異常,正常
異色,平凡
偉人,凡人
異性,同性
磯,沖
忙しい,暇
勤しむ,怠る
受取人,差出人
薄化粧,厚化粧
雨天,晴天
右折,左折
氏子,氏神
艮,巽
失う,得る
有情,無情
